Mes 1,Mes 1,Mes 1,Mes 2,Mes 2,Mes 2,Mes 3,Mes 3,Mes 3,Mes 4,Mes 4,Mes 4,Mes 5,Mes 5,Mes 5,Mes 6,Mes 6,Mes 6,Mes 7,Mes 7,Mes 7,Mes 8,Mes 8,Mes 8,Mes 9,Mes 9,Mes 9,Mes 10,Mes 10,Mes 10,Mes 11,Mes 11,Mes 11,Mes 12,Mes 12,Mes 12
Acción,Audiencia,Medio,Acción,Audiencia,Medio,Acción,Audiencia,Medio,Acción,Audiencia,Medio,Acción,Audiencia,Medio,Acción,Audiencia,Medio,Acción,Audiencia,Medio,Acción,Audiencia,Medio,Acción,Audiencia,Medio,Acción,Audiencia,Medio,Acción,Audiencia,Medio,Acción,Audiencia,Medio
Campaña en redes sociales con videos cortos de jugadores y la mascota (TikTok/Instagram),Moderna,Digital,Campaña en redes sociales con videos cortos de jugadores y la mascota (TikTok/Instagram),Moderna,Digital,Campaña en redes sociales con videos cortos de jugadores y la mascota (TikTok/Instagram),Moderna,Digital,Campaña en redes sociales con videos cortos de jugadores y la mascota (TikTok/Instagram),Moderna,Digital,Campaña en redes sociales con videos cortos de jugadores y la mascota (TikTok/Instagram),Moderna,Digital,Campaña en redes sociales con videos cortos de jugadores y la mascota (TikTok/Instagram),Moderna,Digital,Campaña en redes sociales con videos cortos de jugadores y la mascota (TikTok/Instagram),Moderna,Digital,Campaña en redes sociales con videos cortos de jugadores y la mascota (TikTok/Instagram),Moderna,Digital,Campaña en redes sociales con videos cortos de jugadores y la mascota (TikTok/Instagram),Moderna,Digital,Campaña en redes sociales con videos cortos de jugadores y la mascota (TikTok/Instagram),Moderna,Digital,Campaña en redes sociales con videos cortos de jugadores y la mascota (TikTok/Instagram),Moderna,Digital,Campaña en redes sociales con videos cortos de jugadores y la mascota (TikTok/Instagram),Moderna,Digital
Entrevista en TV abierta con leyendas del equipo y jugadores actuales,Tradicional,TV,Entrevista en TV abierta con leyendas del equipo y jugadores actuales,Tradicional,TV,Entrevista en TV abierta con leyendas del equipo y jugadores actuales,Tradicional,TV,Entrevista en TV abierta con leyendas del equipo y jugadores actuales,Tradicional,TV,Entrevista en TV abierta con leyendas del equipo y jugadores actuales,Tradicional,TV,Entrevista en TV abierta con leyendas del equipo y jugadores actuales,Tradicional,TV,Entrevista en TV abierta con leyendas del equipo y jugadores actuales,Tradicional,TV,Entrevista en TV abierta con leyendas del equipo y jugadores actuales,Tradicional,TV,Entrevista en TV abierta con leyendas del equipo y jugadores actuales,Tradicional,TV,Entrevista en TV abierta con leyendas del equipo y jugadores actuales,Tradicional,TV,Entrevista en TV abierta con leyendas del equipo y jugadores actuales,Tradicional,TV,Entrevista en TV abierta con leyendas del equipo y jugadores actuales,Tradicional,TV
"Evento conmemorativo en el estadio para fans antiguos, con transmisión radial",Tradicional,Radio/Evento,"Evento conmemorativo en el estadio para fans antiguos, con transmisión radial",Tradicional,Radio/Evento,"Evento conmemorativo en el estadio para fans antiguos, con transmisión radial",Tradicional,Radio/Evento,"Evento conmemorativo en el estadio para fans antiguos, con transmisión radial",Tradicional,Radio/Evento,"Evento conmemorativo en el estadio para fans antiguos, con transmisión radial",Tradicional,Radio/Evento,"Evento conmemorativo en el estadio para fans antiguos, con transmisión radial",Tradicional,Radio/Evento,"Evento conmemorativo en el estadio para fans antiguos, con transmisión radial",Tradicional,Radio/Evento,"Evento conmemorativo en el estadio para fans antiguos, con transmisión radial",Tradicional,Radio/Evento,"Evento conmemorativo en el estadio para fans antiguos, con transmisión radial",Tradicional,Radio/Evento,"Evento conmemorativo en el estadio para fans antiguos, con transmisión radial",Tradicional,Radio/Evento,"Evento conmemorativo en el estadio para fans antiguos, con transmisión radial",Tradicional,Radio/Evento,"Evento conmemorativo en el estadio para fans antiguos, con transmisión radial",Tradicional,Radio/Evento
Creación de filtros interactivos con la mascota en TikTok e Instagram Stories,Moderna,Digital,Creación de filtros interactivos con la mascota en TikTok e Instagram Stories,Moderna,Digital,Creación de filtros interactivos con la mascota en TikTok e Instagram Stories,Moderna,Digital,Creación de filtros interactivos con la mascota en TikTok e Instagram Stories,Moderna,Digital,Creación de filtros interactivos con la mascota en TikTok e Instagram Stories,Moderna,Digital,Creación de filtros interactivos con la mascota en TikTok e Instagram Stories,Moderna,Digital,Creación de filtros interactivos con la mascota en TikTok e Instagram Stories,Moderna,Digital,Creación de filtros interactivos con la mascota en TikTok e Instagram Stories,Moderna,Digital,Creación de filtros interactivos con la mascota en TikTok e Instagram Stories,Moderna,Digital,Creación de filtros interactivos con la mascota en TikTok e Instagram Stories,Moderna,Digital,Creación de filtros interactivos con la mascota en TikTok e Instagram Stories,Moderna,Digital,Creación de filtros interactivos con la mascota en TikTok e Instagram Stories,Moderna,Digital
Reportaje en periódico local destacando la historia del equipo y sus jugadores icónicos,Tradicional,Prensa,Reportaje en periódico local destacando la historia del equipo y sus jugadores icónicos,Tradicional,Prensa,Reportaje en periódico local destacando la historia del equipo y sus jugadores icónicos,Tradicional,Prensa,Reportaje en periódico local destacando la historia del equipo y sus jugadores icónicos,Tradicional,Prensa,Reportaje en periódico local destacando la historia del equipo y sus jugadores icónicos,Tradicional,Prensa,Reportaje en periódico local destacando la historia del equipo y sus jugadores icónicos,Tradicional,Prensa,Reportaje en periódico local destacando la historia del equipo y sus jugadores icónicos,Tradicional,Prensa,Reportaje en periódico local destacando la historia del equipo y sus jugadores icónicos,Tradicional,Prensa,Reportaje en periódico local destacando la historia del equipo y sus jugadores icónicos,Tradicional,Prensa,Reportaje en periódico local destacando la historia del equipo y sus jugadores icónicos,Tradicional,Prensa,Reportaje en periódico local destacando la historia del equipo y sus jugadores icónicos,Tradicional,Prensa,Reportaje en periódico local destacando la historia del equipo y sus jugadores icónicos,Tradicional,Prensa
Sorteo de entradas a juegos para jóvenes seguidores en redes sociales,Moderna,Digital,Sorteo de entradas a juegos para jóvenes seguidores en redes sociales,Moderna,Digital,Sorteo de entradas a juegos para jóvenes seguidores en redes sociales,Moderna,Digital,Sorteo de entradas a juegos para jóvenes seguidores en redes sociales,Moderna,Digital,Sorteo de entradas a juegos para jóvenes seguidores en redes sociales,Moderna,Digital,Sorteo de entradas a juegos para jóvenes seguidores en redes sociales,Moderna,Digital,Sorteo de entradas a juegos para jóvenes seguidores en redes sociales,Moderna,Digital,Sorteo de entradas a juegos para jóvenes seguidores en redes sociales,Moderna,Digital,Sorteo de entradas a juegos para jóvenes seguidores en redes sociales,Moderna,Digital,Sorteo de entradas a juegos para jóvenes seguidores en redes sociales,Moderna,Digital,Sorteo de entradas a juegos para jóvenes seguidores en redes sociales,Moderna,Digital,Sorteo de entradas a juegos para jóvenes seguidores en redes sociales,Moderna,Digital
Mini-documental en YouTube con entrevistas a fans de toda la vida,Ambas,Digital/YouTube,Mini-documental en YouTube con entrevistas a fans de toda la vida,Ambas,Digital/YouTube,Mini-documental en YouTube con entrevistas a fans de toda la vida,Ambas,Digital/YouTube,Mini-documental en YouTube con entrevistas a fans de toda la vida,Ambas,Digital/YouTube,Mini-documental en YouTube con entrevistas a fans de toda la vida,Ambas,Digital/YouTube,Mini-documental en YouTube con entrevistas a fans de toda la vida,Ambas,Digital/YouTube,Mini-documental en YouTube con entrevistas a fans de toda la vida,Ambas,Digital/YouTube,Mini-documental en YouTube con entrevistas a fans de toda la vida,Ambas,Digital/YouTube,Mini-documental en YouTube con entrevistas a fans de toda la vida,Ambas,Digital/YouTube,Mini-documental en YouTube con entrevistas a fans de toda la vida,Ambas,Digital/YouTube,Mini-documental en YouTube con entrevistas a fans de toda la vida,Ambas,Digital/YouTube,Mini-documental en YouTube con entrevistas a fans de toda la vida,Ambas,Digital/YouTube
"Lanzamiento de mercancía retro del equipo, con publicidad en TV y redes sociales",Ambas,TV/Digital,"Lanzamiento de mercancía retro del equipo, con publicidad en TV y redes sociales",Ambas,TV/Digital,"Lanzamiento de mercancía retro del equipo, con publicidad en TV y redes sociales",Ambas,TV/Digital,"Lanzamiento de mercancía retro del equipo, con publicidad en TV y redes sociales",Ambas,TV/Digital,"Lanzamiento de mercancía retro del equipo, con publicidad en TV y redes sociales",Ambas,TV/Digital,"Lanzamiento de mercancía retro del equipo, con publicidad en TV y redes sociales",Ambas,TV/Digital,"Lanzamiento de mercancía retro del equipo, con publicidad en TV y redes sociales",Ambas,TV/Digital,"Lanzamiento de mercancía retro del equipo, con publicidad en TV y redes sociales",Ambas,TV/Digital,"Lanzamiento de mercancía retro del equipo, con publicidad en TV y redes sociales",Ambas,TV/Digital,"Lanzamiento de mercancía retro del equipo, con publicidad en TV y redes sociales",Ambas,TV/Digital,"Lanzamiento de mercancía retro del equipo, con publicidad en TV y redes sociales",Ambas,TV/Digital,"Lanzamiento de mercancía retro del equipo, con publicidad en TV y redes sociales",Ambas,TV/Digital
Publicidad en radio local destacando la mascota y el espíritu del equipo,Tradicional,Radio,Publicidad en radio local destacando la mascota y el espíritu del equipo,Tradicional,Radio,Publicidad en radio local destacando la mascota y el espíritu del equipo,Tradicional,Radio,Publicidad en radio local destacando la mascota y el espíritu del equipo,Tradicional,Radio,Publicidad en radio local destacando la mascota y el espíritu del equipo,Tradicional,Radio,Publicidad en radio local destacando la mascota y el espíritu del equipo,Tradicional,Radio,Publicidad en radio local destacando la mascota y el espíritu del equipo,Tradicional,Radio,Publicidad en radio local destacando la mascota y el espíritu del equipo,Tradicional,Radio,Publicidad en radio local destacando la mascota y el espíritu del equipo,Tradicional,Radio,Publicidad en radio local destacando la mascota y el espíritu del equipo,Tradicional,Radio,Publicidad en radio local destacando la mascota y el espíritu del equipo,Tradicional,Radio,Publicidad en radio local destacando la mascota y el espíritu del equipo,Tradicional,Radio
